country or territory,who_region,time,response,mean,standard_dev,95%HPDlow,95%HPDhigh,
Gambia,AFR,2018.500,strongly agree,82.26,1.33,79.60,84.70,
Gambia,AFR,2018.583,strongly agree,80.81,4.68,71.59,88.73,
Gambia,AFR,2018.667,strongly agree,77.77,6.04,65.07,89.07,
Gambia,AFR,2018.750,strongly agree,75.99,7.88,59.90,89.01,
Gambia,AFR,2018.833,strongly agree,75.05,8.89,58.33,90.67,
Gambia,AFR,2018.917,strongly agree,72.91,10.67,53.85,91.83,
Gambia,AFR,2019.250,strongly agree,70.78,14.33,44.87,94.56,
Gambia,AFR,2019.583,strongly agree,75.42,13.13,48.80,92.85,
Gambia,AFR,2019.750,strongly agree,78.01,12.69,53.72,95.53,
Gambia,AFR,2019.833,strongly agree,78.97,11.79,55.17,94.79,
Gambia,AFR,2019.917,strongly agree,80.92,10.48,60.06,96.07,
Gambia,AFR,2020.000,strongly agree,80.49,11.44,58.86,96.49,
Ghana,AFR,2015.833,strongly agree,74.04,1.34,71.28,76.50,
Ghana,AFR,2016.333,strongly agree,75.29,9.66,52.99,89.93,
Ghana,AFR,2018.250,strongly agree,72.08,13.20,47.31,93.82,
Ghana,AFR,2018.333,strongly agree,71.33,12.40,46.75,90.05,
Ghana,AFR,2018.417,strongly agree,74.02,11.26,52.42,91.60,
Ghana,AFR,2018.500,strongly agree,73.59,9.33,53.74,89.34,
Ghana,AFR,2018.583,strongly agree,75.37,8.40,60.52,90.17,
Ghana,AFR,2018.667,strongly agree,75.05,7.34,61.40,87.80,
Ghana,AFR,2018.750,strongly agree,75.92,5.82,65.29,86.99,
Ghana,AFR,2018.833,strongly agree,77.63,5.23,66.99,87.27,
Ghana,AFR,2018.917,strongly agree,77.36,1.53,74.43,80.38,
Ghana,AFR,2019.250,strongly agree,71.62,10.29,53.01,89.17,
Ghana,AFR,2019.583,strongly agree,70.41,14.61,46.44,95.29,
Ghana,AFR,2019.750,strongly agree,73.21,15.26,44.13,96.26,
Ghana,AFR,2019.833,strongly agree,74.93,15.07,44.55,96.94,
Ghana,AFR,2019.917,strongly agree,76.96,15.34,44.75,97.22,
Ghana,AFR,2020.000,strongly agree,77.02,16.19,43.99,97.33,
Guinea,AFR,2015.833,strongly agree,48.53,21.98,13.94,91.66,
Guinea,AFR,2016.333,strongly agree,50.89,22.94,12.68,84.95,
Guinea,AFR,2018.250,strongly agree,62.31,15.27,31.30,87.42,
Guinea,AFR,2018.333,strongly agree,62.47,13.32,34.43,84.27,
Guinea,AFR,2018.417,strongly agree,65.42,10.30,45.26,83.23,
Guinea,AFR,2018.500,strongly agree,64.61,8.33,48.28,79.18,
Guinea,AFR,2018.583,strongly agree,65.45,6.13,54.72,78.16,
Guinea,AFR,2018.667,strongly agree,64.70,1.74,61.48,68.18,
Guinea,AFR,2018.750,strongly agree,65.00,6.09,53.48,76.49,
Guinea,AFR,2018.833,strongly agree,65.64,7.32,51.40,79.98,
Guinea,AFR,2018.917,strongly agree,65.33,7.93,49.89,80.18,
Guinea,AFR,2019.250,strongly agree,61.80,15.01,35.37,90.76,
Guinea,AFR,2019.583,strongly agree,56.30,19.28,28.18,94.64,
Guinea,AFR,2019.750,strongly agree,54.86,19.36,26.45,94.02,
Guinea,AFR,2019.833,strongly agree,53.47,19.68,24.47,92.75,
Guinea,AFR,2019.917,strongly agree,53.77,19.65,24.27,90.82,
Guinea,AFR,2020.000,strongly agree,52.41,20.16,20.88,90.84,
Ivory Coast,AFR,2015.833,strongly agree,58.08,17.90,21.43,84.28,
Ivory Coast,AFR,2016.333,strongly agree,60.28,17.44,29.81,95.13,
Ivory Coast,AFR,2018.250,strongly agree,61.10,13.14,39.09,84.60,
Ivory Coast,AFR,2018.333,strongly agree,60.52,12.30,37.66,81.50,
Ivory Coast,AFR,2018.417,strongly agree,61.60,10.77,41.33,79.91,
Ivory Coast,AFR,2018.500,strongly agree,59.30,11.06,42.30,79.94,
Ivory Coast,AFR,2018.583,strongly agree,59.46,8.75,43.65,76.57,
Ivory Coast,AFR,2018.667,strongly agree,56.90,6.96,44.03,70.27,
Ivory Coast,AFR,2018.750,strongly agree,57.27,1.68,53.88,60.52,
Ivory Coast,AFR,2018.833,strongly agree,59.39,6.65,45.70,71.81,
Ivory Coast,AFR,2018.917,strongly agree,59.50,7.84,42.22,72.94,
Ivory Coast,AFR,2019.250,strongly agree,63.21,13.49,39.04,86.73,
Ivory Coast,AFR,2019.583,strongly agree,63.25,15.11,34.13,93.33,
Ivory Coast,AFR,2019.750,strongly agree,62.62,15.90,33.96,95.28,
Ivory Coast,AFR,2019.833,strongly agree,61.50,16.49,33.82,94.90,
Ivory Coast,AFR,2019.917,strongly agree,61.43,17.50,30.88,95.74,
Ivory Coast,AFR,2020.000,strongly agree,60.40,18.24,31.51,96.67,
Kenya,AFR,2015.833,strongly agree,64.21,18.93,29.48,93.17,
Kenya,AFR,2016.333,strongly agree,62.73,20.92,20.85,91.07,
Kenya,AFR,2018.250,strongly agree,74.75,6.71,61.19,86.90,
Kenya,AFR,2018.333,strongly agree,74.12,5.46,63.49,83.64,
Kenya,AFR,2018.417,strongly agree,75.96,1.34,73.32,78.34,
Kenya,AFR,2018.500,strongly agree,73.62,6.18,61.55,83.29,
Kenya,AFR,2018.583,strongly agree,73.63,7.81,58.14,87.03,
Kenya,AFR,2018.667,strongly agree,71.60,10.00,51.69,87.94,
Kenya,AFR,2018.750,strongly agree,70.71,11.12,48.77,88.72,
Kenya,AFR,2018.833,strongly agree,70.50,14.08,40.71,89.69,
Kenya,AFR,2018.917,strongly agree,69.68,14.91,36.79,90.78,
Kenya,AFR,2019.250,strongly agree,67.10,18.04,29.07,93.51,
Kenya,AFR,2019.583,strongly agree,67.42,17.54,28.13,94.92,
Kenya,AFR,2019.750,strongly agree,68.12,17.15,32.09,92.37,
Kenya,AFR,2019.833,strongly agree,68.39,16.51,33.20,91.86,
Kenya,AFR,2019.917,strongly agree,69.94,14.74,40.47,92.04,
Kenya,AFR,2020.000,strongly agree,69.94,14.13,42.35,90.85,
Liberia,AFR,2015.833,strongly agree,86.12,9.88,67.08,97.74,
Liberia,AFR,2016.333,strongly agree,85.27,9.60,65.87,98.17,
Liberia,AFR,2018.250,strongly agree,85.92,4.30,77.35,93.58,
Liberia,AFR,2018.333,strongly agree,85.53,3.91,78.01,92.47,
Liberia,AFR,2018.417,strongly agree,86.93,1.09,84.93,89.10,
Liberia,AFR,2018.500,strongly agree,85.40,3.30,79.16,91.23,
Liberia,AFR,2018.583,strongly agree,85.09,4.96,74.39,93.42,
Liberia,AFR,2018.667,strongly agree,83.52,5.57,72.24,92.42,
Liberia,AFR,2018.750,strongly agree,82.55,6.93,68.86,93.86,
Liberia,AFR,2018.833,strongly agree,82.64,7.51,68.62,94.07,
Liberia,AFR,2018.917,strongly agree,81.40,9.27,61.78,95.23,
Liberia,AFR,2019.250,strongly agree,80.51,12.86,49.81,96.85,
Liberia,AFR,2019.583,strongly agree,82.26,11.52,55.92,96.69,
Liberia,AFR,2019.750,strongly agree,83.20,10.56,62.20,96.99,
Liberia,AFR,2019.833,strongly agree,82.93,10.84,63.10,97.86,
